n;REPLICA;SUSPENCION;MALLA;TEMPERATURA;SEDIMENTACCION
1;1;3;2;1;75
2;1;3;1;1;76
3;1;2;1;2;44
4;1;1;1;2;55
5;1;3;2;2;56
6;1;2;2;1;71
7;1;1;2;1;67
8;1;2;2;2;60
9;1;3;1;2;52
10;1;1;2;2;52
11;1;1;1;1;60
12;1;2;1;1;62
13;2;2;2;1;80
14;2;2;1;2;44
15;2;2;2;2;60
16;2;1;1;1;75
17;2;3;1;2;51
18;2;3;1;1;71
19;2;1;2;1;73
20;2;3;2;2;55
21;2;1;1;2;53
22;2;3;2;1;75
23;2;2;1;1;68
24;2;1;2;2;52
25;3;3;1;1;75
26;3;1;2;2;57
27;3;2;2;1;80
28;3;3;2;2;57
29;3;3;2;1;75
30;3;2;1;1;62
31;3;1;1;2;53
32;3;1;2;1;73
33;3;3;1;2;50
34;3;1;1;1;75
35;3;2;2;2;60
36;3;2;1;2;45
37;4;1;2;1;67
38;4;3;2;2;59
39;4;2;1;2;48
40;4;3;1;2;52
41;4;2;2;2;67
42;4;1;1;2;55
43;4;3;1;1;70
44;4;2;1;1;76
45;4;1;1;1;86
46;4;1;2;2;52
47;4;2;2;1;72
48;4;3;2;1;75
49;5;3;1;1;68
50;5;2;1;2;48
51;5;1;2;2;54
52;5;2;2;1;80
53;5;3;1;2;48
54;5;2;2;2;67
55;5;1;2;1;68
56;5;1;1;2;55
57;5;3;2;1;75
58;5;3;2;2;50
59;5;1;1;1;70
60;5;2;1;1;65
61;6;2;2;1;80
62;6;2;1;1;65
63;6;1;1;1;70
64;6;3;1;2;54
65;6;3;1;1;73
66;6;1;2;2;54
67;6;2;2;2;65
68;6;2;1;2;45
69;6;3;2;2;55
70;6;1;2;1;68
71;6;3;2;1;77
72;6;1;1;2;55
